oxide,g_pbx (eV/atom),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,EA (eV),IP (eV),r_cov (AA),EN (Pauling),N_val,N_unf,CE (eV),max_OS,stdev_OS
AgO,0.5257714771189463,0.8954,0.8805,-8.650780005705835,0.0414150000273167,27.5,1.38278915,10.5971445,1.055,2.685,8.5,1.5,-2.452994347006704,2,2.8284271247461903
Al2O3,0.4242610766495449,0.7840000000000001,0.92705,-10.033095006617575,0.7774400005127804,10.5,1.04979718,10.5651406,0.88,2.708,4.8,3.2,-3.8180619770000703,3,3.5355339059327378
AlCuO2,0.563482509552507,0.9243166666666668,1.0196833333333333,-8.469630005586353,-0.5941966670585838,16.666666666666668,1.1477074,10.23706475,0.9625,2.5975,6.5,2.5,-6.978712226003154,3,2.683281572999748
As2O5,0.2315030882915678,0.65915,0.7351500000000001,-9.480955006253398,0.1400850000923965,20.5,1.2735952142857143,12.523910714285716,0.8114285714285714,3.08,8.571428571428571,2.2857142857142856,-2.831321049503458,5,4.949747468305833
Au2O3,0.083148966813013,0.84795,0.83305,-9.319350006146806,-0.589855000389053,43.5,1.8001072800000002,11.8610546,0.94,3.08,13.6,1.6,-2.936106896959245,5,3.683941988065037
As2O3,0.6348007689813805,0.65915,0.7351500000000001,-9.480955006253398,0.1400850000923965,20.5,1.1985911800000002,12.086253,0.872,2.936,9.6,2.4,-2.831321049503458,3,3.5355339059327378
Ag2O,0.4284424673521539,0.8954,0.8805,-8.650780005705835,0.0414150000273167,27.5,1.356683766666667,9.590174333333334,1.1866666666666668,2.433333333333333,9.333333333333334,1.3333333333333333,-2.452994347006704,1,2.1213203435596424
Al2CoO4,0.3633755087575259,0.9399833333333332,0.7363833333333334,-8.561816672313824,0.4968700003277233,16.0,1.053193742857143,10.617824,0.9028571428571428,2.6942857142857144,5.571428571428571,3.0,-10.354441449498154,3,3.082207001484488
Ag3O4,0.5696958416281175,0.8954,0.8805,-8.650780005705835,0.0414150000273167,27.5,1.3939771714285716,11.028703142857143,0.9985714285714288,2.792857142857143,8.142857142857142,1.5714285714285714,-2.452994347006704,3,3.082207001484488
Al2MnO4,0.408181418251572,0.9621833333333334,0.7516833333333333,-8.245066672104905,0.0510666667003492,15.333333333333334,0.8842987428571429,10.553970857142858,0.9214285714285714,2.647142857142857,5.285714285714286,3.2857142857142856,-5.434881882619015,3,3.082207001484488
Ba5V5O14,0.5884967330988973,1.3948166666666666,1.03895,-6.659093337725502,0.2799366668513062,29.0,0.992371425,10.4350845,1.1516666666666668,2.5316666666666663,4.958333333333333,2.625,-5.447436728001776,5,3.20404368786651
BaMoO4,0.0541454304602962,1.401716666666667,1.1208166666666666,-6.826276671169107,0.2867200001891136,35.333333333333336,1.1227295333333334,11.129385766666667,1.055,2.8016666666666663,5.333333333333333,2.333333333333333,-7.050935890001711,6,4.320493798938573
BaO2,0.8990276827719986,1.33215,1.31725,-7.823600005160248,1.003335000661775,32.0,1.022278866666667,10.815924866666666,1.1566666666666667,2.59,4.666666666666667,1.3333333333333333,-1.716255753999576,0,0.0
BeO,0.4516392214076024,0.7694000000000001,0.7545000000000001,-9.179630006054651,0.9342550006162116,6.0,0.47055265,11.470377,0.81,2.505,4.0,1.0,-3.688831758500044,2,2.8284271247461903
Ba2V3O9,0.1687994452534312,1.3948166666666666,1.03895,-6.659093337725502,0.2799366668513062,29.0,1.0730132642857142,10.944598942857144,1.0592857142857144,2.687857142857143,5.214285714285714,2.7857142857142856,-5.447436728001776,5,3.811600961117579
BaO,1.6823612286844745,1.33215,1.31725,-7.823600005160248,1.003335000661775,32.0,0.80286565,9.4148598,1.405,2.165,4.0,1.0,-1.716255753999576,2,2.8284271247461903
BaV2O6,0.0473334141733609,1.3948166666666666,1.03895,-6.659093337725502,0.2799366668513062,29.0,1.1073979777777778,11.156929844444443,1.018888888888889,2.7544444444444447,5.333333333333333,2.888888888888889,-5.447436728001776,5,4.189272013130682
Ba3V2O8,0.2138918648195046,1.3948166666666666,1.03895,-6.659093337725502,0.2799366668513062,29.0,1.013695723076923,10.620908292307693,1.1376923076923078,2.573076923076924,4.923076923076923,2.3076923076923075,-5.447436728001776,5,3.644531341016589
Cr2O3,0.2132255940854993,0.9553,0.43585,-8.478575005592253,1.15207500075988,16.0,1.14699966,10.877437,0.952,2.728,6.0,3.6,-1.9754934960001265,3,3.5355339059327378
Cr3NaO8,0.2577319296615412,1.2189166666666666,0.8726166666666667,-6.715706671096176,0.473656666979079,14.333333333333334,1.1886910208333334,11.198587246666666,0.9258333333333332,2.785833333333333,5.583333333333333,2.9166666666666665,-3.0419359124998664,6,4.299591432506871
CsMo3O9,0.0822229205513659,1.5055166666666668,1.224616666666667,-6.470203337600915,0.323050000213076,35.0,1.220274457692308,11.364130055956153,1.0,2.9407692307692312,5.615384615384615,2.8461538461538463,-6.034883366799352,6,4.609110807848341
Cu2O,0.8949449843731792,0.8315500000000001,0.8166500000000001,-8.815810005814685,0.0020700000013655,18.5,1.3108911,9.690271666666668,1.1,2.4133333333333336,9.333333333333334,1.3333333333333333,-3.1606502490030834,1,2.1213203435596424
CaO2,0.9110327298893056,1.13315,1.11825,-8.115500005352779,1.2032700007936472,14.0,0.9822538666666668,11.116421823333331,1.0266666666666668,2.6266666666666665,4.666666666666667,1.3333333333333333,-1.7863590304987156,0,0.0
CaCrO4,0.3019513902504407,1.2395833333333333,0.8932833333333333,-6.966410004594867,0.4563600003010039,17.333333333333332,1.0908022333333334,11.225314245,0.965,2.736666666666667,5.333333333333333,2.333333333333333,-3.761852526498842,6,4.320493798938573
Co3O4,0.1639387569917481,0.85505,0.3917,-8.95409000590589,1.638670001080826,17.5,1.1187451714285714,11.159321428571428,0.9171428571428571,2.771428571428572,7.285714285714286,2.4285714285714284,-6.536379472498084,4,3.1622776601683795
CaO,1.204742643160275,1.13315,1.11825,-8.115500005352779,1.2032700007936472,14.0,0.74282815,9.865605235,1.21,2.22,4.0,1.0,-1.7863590304987156,2,2.8284271247461903
CdO,0.7076070777293753,0.8508000000000001,0.8359000000000001,-9.155805006038936,1.38945500091645,28.0,0.37055265,11.3059375,1.05,2.565,9.0,1.0,-0.8793314094946254,2,2.8284271247461903
CrO2,0.2408350491300613,0.9553,0.43585,-8.478575005592253,1.15207500075988,16.0,1.1993506,11.334206666666669,0.9033333333333332,2.8466666666666662,6.0,3.333333333333333,-1.9754934960001265,4,4.242640687119285
Ca3V2O8,0.2614475953340274,1.26215,0.9062833333333332,-6.853693337853855,0.4132266669392209,17.0,0.9859861076923075,10.828944646923077,1.0476923076923077,2.5984615384615384,4.923076923076923,2.3076923076923075,-5.517540004500916,5,3.644531341016589
Ca2V2O7,0.144936407840285,1.26215,0.9062833333333332,-6.853693337853855,0.4132266669392209,17.0,1.0301966454545457,11.004097267272728,1.018181818181818,2.667272727272727,5.090909090909091,2.5454545454545454,-5.517540004500916,5,3.8446391248074248
CoO,0.5012865473994401,0.85505,0.3917,-8.95409000590589,1.638670001080826,17.5,1.06168515,10.7495325,0.96,2.66,7.5,2.5,-6.536379472498084,2,2.8284271247461903
Cs2Mo3O10,0.0537056586107873,1.5055166666666668,1.224616666666667,-6.470203337600915,0.323050000213076,35.0,1.1864202333333334,11.016376763657334,1.0733333333333333,2.8306666666666667,5.333333333333333,2.6666666666666665,-6.034883366799352,6,4.482107285003976
Cr2MgO4,0.3297028846531077,1.0878166666666669,0.7415166666666667,-7.333133338170083,0.5112433336705369,14.666666666666666,0.9680148,10.807353714285714,0.9757142857142858,2.627142857142857,5.428571428571429,2.857142857142857,-3.4749919613332168,3,3.082207001484488
CrNa4O4,0.8201249621412702,1.2189166666666666,0.8726166666666667,-6.715706671096176,0.473656666979079,14.333333333333334,0.9679963777777778,9.088337537777775,1.1855555555555557,2.126666666666667,3.7777777777777777,2.0,-3.0419359124998664,4,2.598076211353316
CrKO2,0.6710240002611638,1.36475,1.01845,-6.526253337637885,0.3843600002535144,17.0,1.0248777325,9.5858209325,1.185,2.34,4.75,2.75,-2.8051437711998006,3,2.683281572999748
CuFeO2,0.4008399280709702,0.9739166666666668,0.6694833333333334,-7.614163338355442,-0.2925766668596427,21.0,1.077807735,10.716239525,0.99,2.6525,7.75,2.25,-8.250110191998829,3,2.683281572999748
CoFe2O4,0.165038772487059,0.9895833333333334,0.3861833333333333,-7.706350005082913,0.7984900005266642,20.33333333333333,0.9733084114285716,11.165452314285714,0.9342857142857144,2.757142857142857,7.0,2.7142857142857144,-11.625839415493829,3,3.082207001484488
Cr2ZnO4,0.213815874384469,1.0077833333333333,0.6614833333333333,-7.794206671807527,0.6286533337479775,20.666666666666668,0.9394433714285716,11.057062428571427,0.9485714285714286,2.6757142857142857,6.857142857142857,2.857142857142857,-3.116294264997123,3,3.082207001484488
CrCuO2,0.3886241594824039,1.0385166666666668,0.6922166666666668,-7.433283338236138,-0.3444400002271839,20.33333333333333,1.20845895,10.43225,1.0075,2.61,7.25,2.75,-5.13614374500321,3,2.683281572999748
CrCuO4,0.2782340801507526,1.0385166666666668,0.6922166666666668,-7.433283338236138,-0.3444400002271839,20.33333333333333,1.2926744,11.494185,0.8916666666666667,2.8866666666666667,6.833333333333333,2.5,-5.13614374500321,6,4.320493798938573
Cs7O,3.6319530166925897,1.48785,1.47295,-7.289490004807963,1.0578300006977186,31.5,0.59531463125,5.10942438650125,2.2175,1.12125,1.625,1.125,-0.7002032307972168,0,0.0
CrMgO4,0.3825490971705995,1.0878166666666669,0.7415166666666667,-7.333133338170083,0.5112433336705369,14.666666666666666,1.0167104,11.480827666666666,0.9066666666666668,2.7883333333333336,5.333333333333333,2.333333333333333,-3.4749919613332168,6,4.320493798938573
CrK3O4,0.7117455806312029,1.36475,1.01845,-6.526253337637885,0.3843600002535144,17.0,1.00307997375,9.28259014875,1.265,2.235,4.125,2.125,-2.8051437711998006,5,3.0435436410107286
Cr3KO8,0.2400470494346231,1.36475,1.01845,-6.526253337637885,0.3843600002535144,17.0,1.1848187608333334,11.132052810833333,0.9566666666666668,2.776666666666667,5.583333333333333,2.9166666666666665,-2.8051437711998006,6,4.299591432506871
CrNiO4,0.1514130798442521,1.0882166666666668,0.40405,-6.948013337916066,1.3371100008819246,20.0,1.2795706,11.479768,0.8783333333333333,2.888333333333333,6.666666666666667,2.6666666666666665,-6.511534254997969,6,4.320493798938573
Ca2Fe2O5,0.4702743576581586,1.1749833333333335,0.87055,-7.147290004714172,0.508223333668545,18.0,0.8512334644444445,10.680169126666668,1.051111111111111,2.54,5.555555555555555,2.0,-6.875818973494461,3,2.9368350311176825
CoTiO3,0.1543002067211527,1.10335,0.4421833333333334,-7.421066671561415,0.6445200004251096,19.0,1.0242251800000002,11.112659,0.968,2.748,6.2,3.4,-12.821384571832215,4,3.3806170189140663
Cr2K2O7,0.2765981444305877,1.36475,1.01845,-6.526253337637885,0.3843600002535144,17.0,1.1438488872727277,10.685521132727274,1.041818181818182,2.64,5.090909090909091,2.5454545454545454,-2.8051437711998006,6,4.187033556111056
CaCr2O4,0.4078859712554976,1.2395833333333333,0.8932833333333333,-6.966410004594867,0.4563600003010039,17.333333333333332,1.0315220857142855,10.58834221,1.0257142857142858,2.5828571428571427,5.428571428571429,2.857142857142857,-3.761852526498842,3,3.082207001484488
CoCr2O4,0.1862651314889129,1.0541833333333333,0.4089166666666666,-7.525470004963608,0.7466266671591232,19.666666666666668,1.1226240857142855,10.840892857142856,0.9542857142857144,2.7085714285714286,6.428571428571429,3.2857142857142856,-8.51187296849821,3,3.082207001484488
CrNa2O4,0.3382494878363097,1.2189166666666666,0.8726166666666667,-6.715706671096176,0.473656666979079,14.333333333333334,1.0880164142857145,10.216697702857145,1.05,2.468571428571429,4.571428571428571,2.2857142857142856,-3.0419359124998664,6,3.6742346141747673
